name,gender
Daria Zhelezniakova,woman
Javid Basharat,man
Pedro Falcao,man
Adam Fugitt,man
Shayna Baszler,woman
Loopy Godínez,woman
"Randy Brown
",man
Jens Pulver,man
Gabriel Green,man
Chris Gutierrez,man
Alonzo Menifield,man
Louie Sutherland,man
Issa Isakov,man
Jason Witt,man
Victor Henry,man
Jack Shore,man
Felice Herrig,woman
Lauren Murphy,woman
Mateusz Gamrot,man
Evan Elder,man
Dione Barbosa,woman
Mike Malott,man
Wang Cong,woman
Sheldon Westcott,man
Marnic Mann,woman
Jonathan Brookins,man
Liz Carmouche,woman
Nicolae Negumereanu,man
Zabit Magomedsharipov,man
Lukasz Brzeski,man
Paige VanZant,woman
Lucas Martins,man
Song Yadong,man
Elijah Smith,man
Mitch Ramirez,man
Gabriel Miranda,man
Matheus Nicolau,man
Gavin Tucker,man
Kyle Nelson,man
Jean Silva,man
Hailey Cowan,woman
Chris Curtis,man
Miguel Baeza,man
Kanako Murata,woman
Tatsuro Taira,man
Ricardo Ramos,man
Nate Diaz,man
Nasrat Haqparast,man
Melissa Mullins,woman
JeongYeong Lee,man
Manon Fiorot,woman
Albert Tadevosyan,man
Tresean Gore,man
Juan Espino,man
Kyle Prepolec,man
Alexandre Pantoja,man
Alex Reyes,man
Glover Teixeira,man
Steven Siler,man
Peter Danesoe,man
Eliot Marshall,man
Lina Lansberg,woman
Farid Basharat,man
Manny Gamburyan,man
Trevin Giles,man
Pablo Garza,man
Nazim Sadykhov,man
Lyoto Machida,man
Niko Price,man
Youssef Zalal,man
Chris Padilla,man
Keith Jardine,man
Frank Mir,man
Manolo Zecchini,man
Nikolay Veretennikov,man
Joselyne Edwards,woman
Donovan Beard,man
Kamuela Kirk,man
Ben Askren,man
Andre Muniz,man
Dan Hooker,man
Yadier Del Valle,man
Zubaira Tukhugov,man
Josh Culibao,man
Tom Aspinall,man
Charles Jourdain,man
Diego Lopes,man
"Gregory Rodrigues
",man
Renzo Gracie,man
Mark Coleman,man
Carlos Hernandez,man
Joanderson Brito,man
André Muniz,man
Joe Doerksen,man
Ludovit Klein,man
Punahele Soriano,man
Cory Sandhagen,man
Johnny Eduardo,man
Jason High,man
Forrest Griffin,man
Claudia Gadelha,woman
Jailton Almeida,man
James Llontop,man
Michael Trizano,man
Brendan Marotte,man
Matt Sayles,man
Bryce Mitchell,man
Thiago Santos,man
Antonio Rogerio Nogueira,man
Charles Byrd,man
Lucas Alexander,man
Da Woon Jung,man
Will Chope,man
CJ Vergara,man
Pat Healy,man
Joanna Jedrzejczyk,woman
Jessica Penne,woman
Austen Lane,man
Scott Jorgensen,man
Carlston Harris,man
David Loiseau,man
Julija Stoliarenko,woman
Taylor Lapilus,man
Marc Diakiese,man
Ilia Topuria,man
Charles Johnson,man
Clay Guida,man
Lucie Pudilová,woman
Brendan Allen,man
Danny Barlow,man
Manoel Sousa,man
Carlos Newton,man
Dennis Buzukja,man
Zachary Borrego,man
Antonio Trocoli,man
David Onama,man
Julius Walker,man
John Dodson,man
Cezary Oleksiejczuk,man
Nikolas Motta,man
Bernardo Sopaj,man
Matthew Semelsberger,man
Carlos Prates,man
Montel Jackson,man
Andreas Michailidis,man
John Castaneda,man
Ed Herman,man
Joel Alvarez,man
Ricky Simon,man
Will Brooks,man
Nyamjargal Tumendemberel,man
Brandon Royval,man
Cynthia Calvillo,woman
Diego Brandão,man
Dustin Jacoby,man
Jair Farias,man
Myron Dennis,man
Shane Campbell,man
Kris McCray,man
Tagir Ulanbekov,man
Daniel Frunza,man
Jamie Mullarkey,man
Matheus Camilo,man
Colby Covington,man
Kevin Natividad,man
Phil Hawes,man
Sean Soriano,man
Gilbert Burns,man
Francisco Trinaldo,man
Lodune Sincaid,man
Anderson Silva,man
Matt Serra,man
Nate Quarry,man
Tim Boetsch,man
Angel Pacheco,man
Vince Morales,man
Cody Brundage,man
Orion Cosce,man
Michael Chandler,man
Chad Mendes,man
Kurt Pellegrino,man
Taila Santos,woman
Tamires Vidal,woman
Chris Birchler,man
Fernie Garcia,man
Martin Buday,man
Michal Figlak,man
Trey Ogden,man
Jamahal Hill,man
Tereza Bleda,woman
Tony Gravely,man
Mateus Mendonça,man
Gunnar Nelson,man
Randall Wallace,man
Murtaza Talha,man
Derrick Lewis,man
Jose Johnson,man
Christian Rodriguez,man
Steven Nguyen,man
Aleksandar Rakic,man
Mike Guymon,man
Rogerio Bontorin,man
Emiliano Sordi,man
Kenny Florian,man
Magomed Gadzhiyasulov,man
Paulo Costa,man
Brett Johns,man
Torrez Finney,man
Viacheslav Borshchev,man
Felipe Dos Santos,man
Robelis Despaigne,man
Collin Anglin,man
Ricky Glenn,man
Steven Asplund,man
Mickey Gall,man
Brandon Davis,man
Joe Solecki,man
Hannah Goldy,woman
Donald Cerrone,man
Luis Pena,man
Landon Quiñones,man
Roosevelt Roberts,man
Taylor Moore,man
Mandel Nallo,man
Kyoji Horiguchi,man
Lucas Rocha,man
Josh Fremd,man
Amanda Lemos,woman
Karol Rosa,woman
Chris Clements,man
Taiyilake Nueraji,man
Juancamilo Ronderos,man
Devin Powell,man
Alex Chambers,woman
Diego Brandao,man
Vitor Petrino,man
Jose Ochoa,man
Yasuhiro Urushitani,man
Dan Ige,man
Bekzat Almakhan,man
Brendson Ribeiro,man
Adrian Yanez,man
Brandon Lewis,man
Bo Nickal,man
Herbert Burns,man
David Zawada,man
Mackenzie Dern,woman
Mark Madsen,man
Ante Delija,man
Waldo Cortes Acosta,man
Leon Edwards,man
Yoel Romero,man
Dequan Townsend,man
André Fialho,man
Aspen Ladd,woman
Marcus Buchecha,man
Esteban Ribovics,man
Rory MacDonald,man
Michal Oleksiejczuk,man
Axel Sola,man
Jacqueline Cavalcanti,woman
Billy Quarantillo,man
Karine Silva,woman
Charlie Brenneman,man
Gilbert Urbina,man
Benoit Saint Denis,man
Payton Talbott,man
Terrance McKinney,man
Dooho Choi,man
Talita Alencar,woman
Jamall Emmers,man
Mark Hunt,man
Daermisi Zhawupasi,man
Diego Nunes,man
Tai Tuivasa,man
Tofiq Musayev,man
Eddie Alvarez,man
Klaudia Sygula,woman
Denise Gomes,woman
Dalcha Lungiambula,man
Dakota Bush,man
Uriah Hall,man
Valter Walker,man
Angela Hill,woman
Sam Hughes,woman
Shauna Bannon,woman
Holly Holm,woman
Kurt Holobaugh,man
Harry Hardwick,man
Bryce Mitchell,man
Ernesta Kareckaite,woman
Dustin Poirier,man
Nik Lentz,man
Jake Shields,man
Curtis Blaydes,man
Edson Gomez,man
Nicolle Caliari,woman
Julian Marquez,man
Al Iaquinta,man
Michael Johnson,man
Denis Tiuliulin,man
Connor Matthews,man
Justin Gaethje,man
Journey Newson,man
Elias Theodorou,man
Anthony Pettis,man
Stephen Thompson,man
Sean Brady,man
Nikita Krylov,man
Katlyn Cerminara,woman
Rogério Bontorin,man
Merab Dvalishvili,man
Bolaji Oki,man
Dricus du Plessis,man
Aleksei Oleinik,man
Dricus Du Plessis,man
Francis Ngannou,man
Martin Kampmann,man
Elise Reed,woman
Ivan Erslan,man
Malcolm Gordon,man
Ignacio Bahamondes,man
Carlos Leal,man
Anthony Njokuani,man
Bevon Lewis,man
Uran Satybaldiev,man
Ismail Naurdiev,man
Valerie Letourneau,woman
Diego Ferreira,man
Duško Todorović,man
Rob Font,man
Askar Askarov,man
Alistair Overeem,man
Jeong Yeong Lee,man
Oban Elliott,man
Steve Garcia,man
Victor Hugo,man
AJ Dobson,man
Jose Delano,man
Andreas Gustafsson,man
Tim Elliott,man
Seokhyeon Ko,man
Josh Quinlan,man
Cameron Smotherman,man
Brendon Marotte,man
Kevin Holland,man
Jorge Masvidal,man
Manel Kape,man
Ketlen Vieira,woman
"Michael Morales
",man
Kris Moutinho,man
Marcos Brigagao,man
Eric McConico,man
Andrea Lee,woman
Chepe Mariscal,man
Ryan Hall,man
Alex Caceres,man
Frankie Edgar,man
Pearl Gonzalez,woman
David Dvorak,man
Cameron Rowston,man
Donte Johnson,man
Jalin Turner,man
Ismael Bonfim,man
Hunter Azure,man
Deiveson Figueiredo,man
Roberto Romero,man
Rob Wilkinson,man
Rei Tsuruya,man
Jack Della Maddalena,man
Rinat Fakhretdinov,man
Jack Jenkins,man
Benson Henderson,man
Mashrabjon Ruziboev,man
Francisco Prado,man
Vinc Pichel,man
Trevor Peek,man
Jean Matsumoto,man
Andrey Pulyaev,man
Irina Alekseeva,woman
Timur Valiev,man
Ozzy Diaz,man
Nariman Abbasov,man
Eduardo Garagorri,man
Amanda Ribas,woman
Grant Dawson,man
Emrah Sonmez,man
Nazim Sadykhov,man
Val Woodburn,man
Misha Cirkunov,man
Vinicius Cenci,man
Joe Soto,man
Jeka Saragih,man
Dusko Todorovic,man
Brandon Moreno,man
Andre Lima,man
Jack Della Maddalena,man
Ryan Jensen,man
Calvin Kattar,man
Kauê Fernandes,man
Austin Bashi,man
Zhang Weili,woman
Julian Erosa,man
Alex Morono,man
Roman Dolidze,man
Andre Ewell,man
Felipe dos Santos,man
Nina Nunes,woman
Austin Hubbard,man
Ian Freeman,man
Chad Anheliger,man
Ian Loveland,man
Ryan Loder,man
Cody Durden,man
Roger Huerta,man
Carli Judice,woman
Nick Diaz,man
Jamie Pickett,man
Gabriel Benitez,man
Jesus Aguilar,man
Oumar Sy,man
Pawel Pawlak,man
Charalampos Grigoriou,man
Eduardo Neves,man
Impa Kasanganay,man
Dustin Ortiz,man
Rodolfo Vieira,man
Mick Parkin,man
Rafa Garcia,man
Bogdan Guskov,man
Gabriel Bonfim,man
Mitch Raposo,man
Ange Loosa,man
Brad Katona,man
Jhonata Diniz,man
Marcin Tybura,man
Bruno Silva,man
Diana Belbita,woman
TJ Dillashaw,man
Iasmin Lucindo,woman
Ryan Spann,man
Umar Nurmagomedov,man
Daniel Rodriguez,man
Santiago Ponzinibbio,man
Julia Polastri,woman
Vinicius Oliveira,man
Alan Patrick,man
Vitor Belfort,man
Alvin Hines,man
Josefine Knutsson,woman
Yuneisy Duben,woman
Khamzat Chimaev,man
Alex Perez,man
Ahmad Hassanzada,man
Jeremy Stephens,man
Bryan Battle,man
Jimmy Crute,man
Song Kenan,man
Norma Dumont,woman
MarQuel Mederos,man
Nathaniel Wood,man
Maki Pitolo,man
Darren Elkins,man
Joe Ellenberger,man
Thomas Gifford,man
Fatima Kline,woman
Marlon Moraes,man
Alexander Volkanovski,man
Rafael Dos Anjos,man
Jiri Prochazka,man
Fernando Padilla,man
Kevin Borjas,man
Yadier del Valle,man
Johnny Walker,man
Kaik Brito,man
David Lee,man
Will Santiago,man
Glaico Franca,man
Louis Lee Scott,man
Patricio Freire,man
Isaac Dulgarian,man
Jacob Silva,man
Klidson Abreu,man
Rico DiSciullo,man
Jafel Filho,man
Danny Castillo,man
Loma Lookboonmee,woman
Ramiro Jimenez,man
Kay Hansen,woman
Alan Jouban,man
Gabriella Fernandes,woman
Marlon Vera,man
Dave Menne,man
Gaston Bolanos,man
Quang Le,man
Kevin Randleman,man
Devin Clark,man
Pat Barry,man
Ross Pearson,man
Rich Franklin,man
Dominick Reyes,man
Ian Heinisch,man
Gilbert Melendez,man
Jessica Eye,woman
Shara Magomedov,man
Matt Wiman,man
Jan Blachowicz,man
Daniel Santos,man
Kelvin Gastelum,man
Pat Schilling,man
Clayton Carpenter,man
Arnold Allen,man
