link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/ufc-qatar-prelim-results-ufc-fight-night-tsarukyan-vs-hooker-event-tonight-recaps-highlights-interviews,Results,1 week ago,Prelim Results | UFC Qatar,Prelim Results | UFC Qatar,"Get Live Results, Watch Post-Fight Interviews With The Prelim Winners And More From UFC Fight Night: Tsarukyan vs Hooker, Live From ABHA Arena in Doha, Qatar On November 22",2025-11-22 10:07:01-06:00,2025-11-22 12:33:21-06:00,E. Spencer Kyte,SpencerKyte
/news/arman-tsarukyan-has-gold-on-his-mind-in-doha-ufc-qatar,Athletes,2 weeks ago,Arman Tsarukyan Has Gold On His Mind In Doha,Arman Tsarukyan Has Gold On His Mind In Doha,"Ahead Of His First Fight Since April 2024, Arman Tsarukyan Believes He Can Earn A Shot At The Lightweight Title With A Stylish Win Over Dan Hooker",2025-11-21 09:30:00-06:00,2025-11-21 09:25:00-06:00,Zac Pacleb,
/news/nicolas-dalby-experience-is-key-ufc-qatar,Athletes,2 weeks ago,Nicolas Dalby | Experience Is Key,Nicolas Dalby | Experience Is Key,"Danish Welterweight May Be In The Veteran Stage Of His Career, But He's Never Stopped His Quest For Improvement",2025-11-21 09:00:00-06:00,2025-11-21 08:55:00-06:00,Simon Head,simonheadsport
/news/volkan-oezdemir-no-time-like-present-ufc-qatar,Athletes,2 weeks ago,Volkan Oezdemir | 'No Time' Like The Present,Volkan Oezdemir | 'No Time' Like The Present,Veteran Light Heavyweight Contender Plans On Igniting Another Run Towards Title Contention At 205 Pounds,2025-11-21 07:10:33-06:00,2025-11-21 06:55:00-06:00,Simon Head,simonheadsport
/news/kyoji-horiguchi-one-step-at-a-time-ufc-qatar,Athletes,2 weeks ago,Kyoji Horiguchi | One Step At A Time,Kyoji Horiguchi | One Step At A Time,"Returning Japanese Standout Focused Exclusively On Task At Hand, For Now",2025-11-20 16:10:00-06:00,2025-11-21 08:00:00-06:00,E. Spencer Kyte,SpencerKyte
/news/alex-perez-grateful-for-the-ride-ufc-qatar,Athletes,2 weeks ago,Alex Perez | Grateful For The Ride,Alex Perez | Grateful For The Ride,Flyweight Discusses Recovery From ACL Surgery And His Plan To Get Back Into Title Contention,2025-11-20 12:40:00-06:00,2025-11-20 17:42:05-06:00,Maddyn Johnstone,
/news/ryan-loder-is-always-evolving-ufc-qatar,Athletes,2 weeks ago,Ryan Loder Is Always Evolving,Ryan Loder Is Always Evolving,Former Ultimate Fighter Winner Ryan Loder Is Eager To Show His Improvements And Secure His First UFC Win At UFC Fight Night: Tsarukyan vs Hooker,2025-11-20 10:50:28-06:00,2025-11-20 17:42:12-06:00,Zac Pacleb,
/news/ian-machado-garry-wants-to-be-undeniable-ufc-qatar,Athletes,2 weeks ago,Ian Machado Garry Wants To Be Undeniable,Ian Machado Garry Wants To Be Undeniable,Irish Welterweight Contender Is Ready To Prove He's The Number One Contender By Finishing A Former Champion In Doha,2025-11-20 07:20:18-06:00,2025-11-20 17:42:20-06:00,Simon Head,simonheadsport
/news/belal-muhammad-aiming-to-make-a-statement-ufc-qatar,Athletes,2 weeks ago,Belal Muhammad Aiming to Make a Statement,Belal Muhammad Aiming to Make a Statement,Former Champ Looking To Out-Shine UFC 322 Standouts In Clash With Ian Machado Garry,2025-11-20 02:30:34-06:00,2025-11-20 17:42:29-06:00,E. Spencer Kyte,spencerkyte
/news/prospect-to-watch-myktybek-orolbai-ufc-qatar,Athletes,2 weeks ago,Prospect To Watch | Myktybek Orolbai,Prospect To Watch | Myktybek Orolbai,"Fresh Off A Submission Win This Summer, Myktybek Orolbai Makes The Move Back To Welterweight In Search Of Long-Term Success",2025-11-19 16:49:35-06:00,2025-11-20 17:42:36-06:00,Kevin Schuster,
/news/dan-hooker-big-game-hunting-ufc-qatar-lightweight,Athletes,2 weeks ago,Dan Hooker | Big Game Hunting,Dan Hooker | Big Game Hunting,"All-Action Standout Talks Targeting Arman Tsarukyan, Eyes Championship Opportunity",2025-11-19 15:56:07-06:00,2025-11-20 17:42:45-06:00,E. Spencer Kyte,spencerkyte
/news/jack-hermansson-wades-into-new-waters-ufc-qatar,Athletes,2 weeks ago,Jack Hermansson Wades Into New Waters,Jack Hermansson Wades Into New Waters,"Scandinavian Veteran Discusses Welterweight Debut, Chasing Greater Consistency",2025-11-19 15:25:00-06:00,2025-11-20 17:42:54-06:00,E. Spencer Kyte,spencerkyte
/news/aleksandre-topuria-look-good-feel-good-play-good-ufc-qatar,Athletes,2 weeks ago,"Aleksandre Topuria | Look Good, Feel Good, Play Good","Aleksandre Topuria | Look Good, Feel Good, Play Good","Bantamweight Discusses Family Style, Competing In The UFC, 2026 Goals",2025-11-19 14:45:00-06:00,2025-11-20 17:43:11-06:00,E. Spencer Kyte,SpencerKyte
/news/main-event-spotlight-arman-tsarukyan-vs-dan-hooker-ufc-qatar,Athletes,2 weeks ago,Main Event Spotlight | Arman Tsarukyan vs Dan Hooker,Main Event Spotlight | Arman Tsarukyan vs Dan Hooker,Elite Lightweights Clash In UFC’s First Trip To Qatar With A Potential Title Shot On The Line,2025-11-19 14:44:59-06:00,2025-11-20 17:43:03-06:00,Zac Pacleb,
