name,gender
Matt Frevola,man
Jose Aldo,man
Maurice Greene,man
Curtis Millender,man
Antonio Rogerio Nogueira,man
Arman Tsarukyan,man
Luis Pena,man
Oban Elliott,man
Edson Barboza,man
Will Santiago,man
Antonio Carlos Junior,man
Bubba McDaniel,man
Deiveson Figueiredo,man
Ryan Hall,man
Paul Craig,man
Court McGee,man
Alden Coria,man
Irene Aldana,woman
Chris Duncan,man
Kaik Brito,man
Pat Healy,man
Hamdy Abdelwahab,man
Montel Jackson,man
Alex Caceres,man
Jon Jones,man
Shara Magomedov,man
Marvin Vettori,man
Askar Askarov,man
Robbie Lawler,man
Aljamain Sterling,man
Cory McKenna,woman
Jessica Andrade,woman
"Randy Brown
",man
Aspen Ladd,woman
Victoria Leonardo,woman
Alberto Montes,man
Albert Tadevosyan,man
Brad Tavares,man
Shamil Gaziev,man
Tracy Cortez,woman
Jimmy Crute,man
Aaron Pico,man
Hunter Azure,man
Ahmad Hassanzada,man
Karine Silva,woman
Kody Steele,man
Roxanne Modafferi,woman
Eric Nolan,man
Merab Dvalishvili,man
Manny Gamburyan,man
Jason Knight,man
Josh Parisian,man
Eliot Marshall,man
Yaroslav Amosov,man
Cezary Oleksiejczuk,man
Spencer Fisher,man
Joe Solecki,man
Fernie Garcia,man
Jason Jackson,man
Shauna Bannon,woman
Mark Choinski,man
Rafael Natal,man
Edmen Shahbazyan,man
Taiyilake Nueraji,man
Zhang Lipeng,man
Ricky Simón,man
Gunnar Nelson,man
Movsar Evloev,man
Carlos Candelario,man
Felipe Dos Santos,man
Gabe Green,man
Jessica Aguilar,woman
Jake Collier,man
Gilbert Burns,man
Austin Bashi,man
Jeong Yeong Lee,man
David Martínez,man
Craig Jones,man
Jiri Procházka,man
Cesar Almeida,man
Sergei Pavlovich,man
Duško Todorović,man
Chris Birchler,man
Raphael Assuncao,man
Ricardo Ramos,man
Mario Pinto,man
Bogdan Guskov,man
Joaquim Silva,man
Benson Henderson,man
Dan Henderson,man
Nate Landwehr,man
Antonio Trocoli,man
Zac Pauga,man
Waldo Cortes Acosta,man
Uroš Medić,man
Duane Ludwig,man
Chan Sung Jung,man
Iasmin Lucindo,woman
Conor McGregor,man
Benardo Sopaj,man
Drakkar Klose,man
Josh Fremd,man
Rafael Fiziev,man
Carlos Vera,man
Julianna Pena,woman
Journey Newson,man
Ihor Potieria,man
Kris McCray,man
Brian Ortega,man
Daniel Zellhuber,man
Marina Rodriguez,woman
Herbert Burns,man
Eduardo Neves,man
JeongYeong Lee,man
Uran Satybaldiev,man
Tecia Torres,woman
Taylor Moore,man
Pete Sell,man
Vince Morales,man
Pedro Falcao,man
Chase Hooper,man
Renzo Gracie,man
Eddie Alvarez,man
Jiri Prochazka,man
Loik Radzhabov,man
Aleksandar Rakić,man
Saimon Oliveira,man
Daniel Rodriguez,man
Kiefer Crosbie,man
Gilbert Smith,man
Alice Pereira,woman
Alexander Hernandez,man
Ramazan Temirov,man
Impa Kasanganay,man
Nariman Abbasov,man
Jack Hermansson,man
Dricus du Plessis,man
Raulian Paiva,man
Jacqueline Cavalcanti,woman
Felipe Bunes,man
Daniel Roberts,man
Ryan Jimmo,man
Josh Hill,man
Darren Stewart,man
Ottman Azaitar,man
Jack Shore,man
Rolando Perez,man
Uriah Hall,man
Tecia Pennington,woman
Anthony Smith,man
Dominick Reyes,man
Murtaza Talha,man
Nikita Krylov,man
Ricky Simon,man
Jarno Errens,man
Yanal Ashmouz,man
David Loiseau,man
Jéssica Andrade,woman
Francis Marshall,man
Viviane Araújo,woman
Rashad Evans,man
Loopy Godinez,woman
SeungWoo Choi,man
Austin Lingo,man
Khaos Williams,man
Weili Zhang,woman
Alexander Poppeck,man
Josiah Harrell,man
Julian Marquez,man
Robert Whittaker,man
Danny Castillo,man
Yohan Lainesse,man
Denys Bondar,man
Shunichi Shimizu,man
Joseph Lowry,man
Azamat Bekoev,man
Pedro Munhoz,man
Cain Velasquez,man
Ben Askren,man
Edgar Chairez,man
Marcio Barbosa,man
Josh Hokit,man
Charalampos Grigoriou,man
Sam Hughes,woman
Tatsuro Taira,man
Quillan Salkilld,man
Louis Smolka,man
Walt Harris,man
Julia Polastri,woman
Talita Alencar,woman
Matt Bessette,man
Frankie Edgar,man
Damir Hadzovic,man
Chris Padilla,man
Ciryl Gane,man
Trevor Peek,man
Dricus Du Plessis,man
Caio Borralho,man
Carli Judice,woman
Nassourdine Imavov,man
Charles Byrd,man
Yadier Del Valle,man
Julius Walker,man
Maki Pitolo,man
Lucas Alexander,man
Brian Bowles,man
Magomed Gadzhiyasulov,man
Matt Wiman,man
Farid Basharat,man
Lerryan Douglas,man
Chelsea Chandler,woman
Rich Franklin,man
Alex Oliveira,man
Christian Rodriguez,man
Demian Maia,man
Shane Burgos,man
Djorden Santos,man
Issa Isakov,man
Lucie Pudilová,woman
Andrea Lee,woman
Matheus Nicolau,man
Daron Cruickshank,man
Jamal Pogues,man
Francisco Trinaldo,man
Brendson Ribeiro,man
Jan Blachowicz,man
Gabriel Benitez,man
Gabriella Fernandes,woman
Jairzinho Rozenstruik,man
Joanne Wood,woman
Maycee Barber,woman
Francisco Prado,man
Bernardo Sopaj,man
Craig White,man
Charles Radtke,man
John Makdessi,man
Nicolle Caliari,woman
Kurt Holobaugh,man
Paddy Pimblett,man
Lucas Almeida,man
Brendan Marotte,man
Myron Dennis,man
Elias Garcia,man
Thiago Tavares,man
Guido Cannetti,man
Viviane Pereira,woman
Chad Hanekom,man
Yancy Medeiros,man
Donte Johnson,man
Hector Ramirez,man
Dennis Buzukja,man
Jaqueline Amorim,woman
Stipe Miocic,man
Diego Ferreira,man
Jake Ellenberger,man
Ryan Gandra,man
TJ Dillashaw,man
Chris Barnett,man
Charles Jourdain,man
Jean Silva,man
Gaston Bolanos,man
Kevin Borjas,man
Ismail Naurdiev,man
Curtis Blaydes,man
Jared Gordon,man
Javid Basharat,man
Ilia Topuria,man
Yasuhiro Urushitani,man
Mark Hominick,man
Danilo Suzart,man
Isaac Dulgarian,man
Colby Thicknesse,man
Brendan Allen,man
Tresean Gore,man
Christos Giagos,man
Charlie Campbell,man
Paul Sass,man
