name,gender
Nicolae Negumereanu,man
Billy Goff,man
Tatiana Suarez,woman
Tom Nolan,man
Kaik Brito,man
Chris Clements,man
Josh Fremd,man
Robelis Despaigne,man
Andrei Arlovski,man
Dustin Stoltzfus,man
Jiří Procházka,man
Rafael Dos Anjos,man
Petr Yan,man
Joaquin Buckley,man
Bryce Mitchell,man
Eduardo Neves,man
Bruna Brasil,woman
Ethyn Ewing,man
Kenny Florian,man
Timur Valiev,man
Jose Delgado,man
Dom Mar Fan,man
Taila Santos,woman
Alexander Hernandez,man
Igor Severino,man
Jonathan Pearce,man
Shonie Carter,man
Rolando Perez,man
Cory Sandhagen,man
Ben Askren,man
Yasuhiro Urushitani,man
TJ Brown,man
Brian Bowles,man
Morgan Charrière,man
Alex Pereira,man
Oumar Sy,man
Anthony Pettis,man
Cristiano Marcello,man
Shayna Baszler,woman
Renan Barão,man
Dequan Townsend,man
Jessica Penne,woman
Kamaru Usman,man
Marlon Vera,man
Klaudia Sygula,woman
Tim Credeur,man
Rafael Alves,man
Alexandre Pantoja,man
Michael Chandler,man
Miles Johns,man
Caio Borralho,man
Sheldon Westcott,man
Josiane Nunes,woman
Robbie Lawler,man
DooHo Choi,man
Jimi Manuwa,man
Shunichi Shimizu,man
Beneil Dariush,man
Rico DiSciullo,man
Cynthia Calvillo,woman
Michael Page,man
Makhmud Muradov,man
Denzel Freeman,man
Mike Davis,man
Juan Espino,man
Hannah Goldy,woman
Anderson Silva,man
Matt Wiman,man
Caio Machado,man
Garrett Armfield,man
Jake Shields,man
Christian Leroy Duncan,man
Edson Gomez,man
Mohammad Yahya,man
Mike Brown,man
Mateus Mendonça,man
Geoff Neal,man
Fabio Cherant,man
Teruto Ishihara,man
Alden Coria,man
Carlos Newton,man
Carlos Vera,man
Ian Heinisch,man
Grant Dawson,man
Alex Caceres,man
Jeka Saragih,man
Tim Means,man
Tyson Pedro,man
John Makdessi,man
Imanol Rodriguez,man
Austen Lane,man
Vinicius Cenci,man
Song Kenan,man
Steve Erceg,man
Roy Jones,man
Weili Zhang,woman
Evan Elder,man
Rashad Evans,man
Kyle Noke,man
Ryan Jensen,man
Jean Matsumoto,man
Ivana Petrovic,woman
Gabriel Bonfim,man
Virna Jandiroba,woman
Pat Healy,man
Sergey Morozov,man
Albert Tadevosyan,man
Austin Vanderford,man
Carli Judice,woman
Charles Byrd,man
Kevin Christian,man
Ian Freeman,man
Nate Landwehr,man
Yadier Del Valle,man
Ateba Gautier,man
Conor McGregor,man
Shane Burgos,man
Fernie Garcia,man
Gabriel Santos,man
Rose Namajunas,woman
Michael Johnson,man
Rafael dos Anjos,man
Ronda Rousey,woman
Renato Moicano,man
Danny Silva,man
Kazushi Sakuraba,man
Jamie Varner,man
Gabriel Miranda,man
Quang Le,man
Rafael Cerqueira,man
Louis Smolka,man
Bolaji Oki,man
Rafael Fiziev,man
Malcolm Gordon,man
Dennis Buzukja,man
Louie Sutherland,man
Erin Blanchfield,woman
Alistair Overeem,man
Forrest Griffin,man
Alice Pereira,woman
Carla Esparza,woman
Arnold Allen,man
Amanda Nunes,woman
Mateusz Rębecki,man
Chad Mendes,man
Raulian Paiva,man
Markus Perez,man
Andre Petroski,man
Keith Jardine,man
Ray Sefo,man
Randa Markos,woman
Pawel Pawlak,man
Damir Hadžović,man
Elise Reed,woman
Shane Young,man
Merab Dvalishvili,man
Abdul Razak Alhassan,man
Gilbert Urbina,man
Magomed Gadzhiyasulov,man
Felicia Spencer,woman
DeAnna Bennett,woman
Norma Dumont,woman
Niko Price,man
Brandon Moreno,man
Melsik Baghdasaryan,man
Thomas Gifford,man
Roberto Romero,man
Al Iaquinta,man
Edgar Chairez,man
Jason Jackson,man
"Charles Oliveira
",man
Dariya Zheleznyakova,woman
Bogdan Guskov,man
Bill Algeo,man
Jake Hadley,man
Brendan Marotte,man
Ľudovit Klein,man
Emily Whitmire,woman
Diego Lopes,man
John Castaneda,man
Rodrigo Nascimento,man
Max Griffin,man
Marcus Buchecha,man
Jason Witt,man
Thiago Moisés,man
Sean Sharaf,man
Ryan Hall,man
Damon Jackson,man
Seth Baczynski,man
Clayton Carpenter,man
Mark Coleman,man
Robert Bryczek,man
Michael Chiesa,man
Brandon Davis,man
Dominick Cruz,man
Sam Alvey,man
Istela Nunes,woman
Jiri Prochazka,man
Pat Sabatini,man
Joe Soto,man
Steven Peterson,man
Dominick Reyes,man
Dione Barbosa,woman
Rayanne Dos Santos,woman
Phil Davis,man
Lodune Sincaid,man
Matt Serra,man
Rei Tsuruya,man
Rafa Garcia,man
Alexander Volkov,man
Viviane Araújo,woman
David Lee,man
Montserrat Rendon,woman
Nathan Fletcher,man
Sodiq Yusuff,man
Jafel Filho,man
Rafa García,man
Bec Rawlings,woman
Cezary Oleksiejczuk,man
"Randy Brown
",man
Ramiro Jimenez,man
Eric McConico,man
Gadzhi Omargadzhiev,man
Will Chope,man
Movsar Evloev,man
Steven Nguyen,man
Gerald Meerschaert,man
Danny Roberts,man
Nathaniel Wood,man
Ibo Aslan,man
Miguel Baeza,man
Jaqueline Amorim,woman
Cub Swanson,man
Paddy Pimblett,man
Sean Strickland,man
Tamires Vidal,woman
Bryan Battle,man
Daniel Rodriguez,man
Brendon Marotte,man
Yusaku Kinoshita,man
Yan Xiaonan,woman
Kevin Holland,man
Anthony Hernandez,man
Bryce Mitchell,man
Tony Ferguson,man
Loopy Godinez,woman
Marion Reneau,woman
Michael McDonald,man
Dricus du Plessis,man
Tommy McMillen,man
Denis Tiuliulin,man
Dan Hardy,man
Robert Whittaker,man
Hamdy Abdelwahab,man
Diego Brandão,man
Stephen Thompson,man
Joaquim Silva,man
Xiaonan Yan,woman
Zachary Reese,man
Uroš Medić,man
Amanda Ribas,woman
Jean Silva,man
Damir Hadzovic,man
Pat Schilling,man
Wanderlei Silva,man
Bernardo Sopaj,man
Benson Henderson,man
Felipe Dos Santos,man
David Martinez,man
Pearl Gonzalez,woman
Andreas Michailidis,man
Chris Padilla,man
Daria Zhelezniakova,woman
Chan Sung Jung,man
Journey Newson,man
Kris McCray,man
Sergei Pavlovich,man
Yazmin Jauregui,woman
Jonathan Martinez,man
Daniel Marcos,man
Thomas Almeida,man
Adam Fugitt,man
Saygid Izagakhmaev,man
Valter Walker,man
Rich Franklin,man
Michal Figlak,man
Duane Ludwig,man
Craig Jones,man
Julianna Peña,woman
Maycee Barber,woman
Tabatha Ricci,woman
Collin Anglin,man
SeungGuk Choi,man
Mark Weir,man
Gunnar Nelson,man
Charles Radtke,man
Jackson McVey,man
Henry Cejudo,man
Dricus Du Plessis,man
Kevin Jackson,man
Seokhyeon Ko,man
Myktybek Orolbai,man
Lucie Pudilová,woman
Brunno Ferreira,man
Bevon Lewis,man
Tallison Teixeira,man
Victor Henry,man
Devin Clark,man
Karol Rosa,woman
Gilbert Melendez,man
Albert Tumenov,man
Sean Brady,man
Herbert Burns,man
Trevor Peek,man
Connor Matthews,man
Julian Erosa,man
Jose Aldo,man
Pat Miletich,man
Bekzat Almakhan,man
Nate Quarry,man
Curtis Millender,man
Saimon Oliveira,man
Joel Alvarez,man
Pedro Falcao,man
Chris Birchler,man
Roberto Sanchez,man
Brett Johns,man
Brandon Royval,man
Yousri Belgaroui,man
Oban Elliott,man
Joseph Lowry,man
Nazim Sadykhov,man
Mateus Mendonca,man
Vince Morales,man
Azat Maksum,man
Jose Delano,man
Natalia Silva,woman
Mickey Gall,man
Luana Santos,woman
Ricardo Arona,man
Kennedy Nzechukwu,man
Gabriella Fernandes,woman
Jamal Pogues,man
Roxanne Modafferi,woman
Kelvin Gastelum,man
Alex Perez,man
Dominic Waters,man
Chris Fishgold,man
Jhonata Diniz,man
Ramazan Emeev,man
Anthony Hamilton,man
Yi Zha,man
Aspen Ladd,woman
Top Kiwram,man
Jimmy Flick,man
Ismail Naurdiev,man
Wilson Reis,man
Jan Blachowicz,man
Bryan Caraway,man
Dylan Budka,man
Jean Silva,man
Sean Woodson,man
Bryan Barberena,man
Drew Dober,man
Hunter Azure,man
Zak Cummings,man
Fernando Padilla,man
Daniel Barez,man
Farès Ziam,man
Kamuela Kirk,man
Rayanne dos Santos,woman
Yuki Kondo,man
Andre Fili,man
Diego Brandao,man
Anthony Perosh,man
Cody Garbrandt,man
Macy Chiasson,woman
Curtis Blaydes,man
Alex Chambers,woman
James Llontop,man
Chad Anheliger,man
Vladimir Matyushenko,man
Zhang Mingyang,man
Mitch Raposo,man
Nyamjargal Tumendemberel,man
Christos Giagos,man
JJ Aldrich,woman
Montel Jackson,man
Claudia Gadelha,woman
Donald Cerrone,man
Martin Kampmann,man
Josias Musasa,man
Pablo Garza,man
Santiago Luna,man
Benoît Saint Denis,man
Chris Gutierrez,man
Wes Schultz,man
Kauê Fernandes,man
Carlston Harris,man
Ramon Taveras,man
Fatima Kline,woman
Josiah Harrell,man
Lina Lansberg,woman
Mateusz Rebecki,man
Nick Klein,man
Ryan Jimmo,man
Khabib Nurmagomedov,man
Nicolle Caliari,woman
Rolando Bedoya,man
TJ Dillashaw,man
Aljamain Sterling,man
Cheyanne Vlismas,woman
Mark Kerr,man
Mark Hunt,man
Serhiy Sidey,man
Bruno Silva,man
Vicente Luque,man
Marcus Brimage,man
Miesha Tate,woman
Ivan Erslan,man
Frankie Edgar,man
Torrez Finney,man
Brad Tavares,man
Polyana Viana,woman
Antonio Trocoli,man
Anshul Jubli,man
Jussier Formiga,man
Payton Talbott,man
Mark Hominick,man
HanSeul Kim,man
Chase Hooper,man
Zach Reese,man
Loma Lookboonmee,woman
Justin Sumter,man
Klidson Abreu,man
Julija Stoliarenko,woman
Taylor Lapilus,man
Leon Edwards,man
Preston Parsons,man
Manuel Torres,man
Jon Jones,man
Joe Solecki,man
Tereza Bledá,woman
Matt Frevola,man
John Phillips,man
Claudio Puelles,man
Donovan Beard,man
Valentina Shevchenko,woman
Tracy Cortez,woman
Ken Shamrock,man
Carlos Hernandez,man
Calvin Kattar,man
Sara McMann,woman
Peter Sobotta,man
Patricio Freire,man
Zach Makovsky,man
Dustin Ortiz,man
Jalin Turner,man
Donte Johnson,man
Johnny Walker,man
Edmen Shahbazyan,man
Rani Yahya,man
Alan Patrick,man
Mohammed Usman,man
Marcos Brigagao,man
Amir Albazi,man
Brendson Ribeiro,man
Ryan Loder,man
Vinc Pichel,man
Nik Lentz,man
Roman Kopylov,man
Victoria Leonardo,woman
Jumabieke Tuerxun,man
Tuco Tokkos,man
Gilbert Smith,man
Jordan Leavitt,man
