link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/gabriel-bonfim-leveled-up-legend-ufc-vegas-111,Athletes,4 hours ago,Gabriel Bonfim | Leveled Up By A Legend,Gabriel Bonfim | Leveled Up By A Legend,"Brazilian Welterweight Contender Is Still Growing, And Still Learning As A Fighter, As He Makes His Way Up The 170-Pound Division",2025-11-06 18:39:27-06:00,2025-11-06 19:05:11-06:00,Simon Head,simonheadsport
/news/chris-padilla-blocking-out-the-noise-ufc-fight-night-bonfim-vs-brown,Athletes,5 hours ago,Chris Padilla | Blocking Out The Noise,Chris Padilla | Blocking Out The Noise,Lightweight Prospect Looks To Secure His Fourth Win Inside The Octagon When He Faces Ismael Bonfim In Las Vegas,2025-11-06 17:30:00-06:00,2025-11-06 17:35:33-06:00,Maddyn Johnstone,
/news/matt-schnell-honest-excited-and-dangerous-ufc-fight-night-bonfim-vs-brown,Athletes,5 hours ago,"Matt Schnell | Honest, Excited, And Dangerous","Matt Schnell | Honest, Excited, And Dangerous","Veteran Flyweight Discusses Retirement, Return, Facing Joseph Morales On Saturday",2025-11-06 17:14:00-06:00,2025-11-06 17:41:09-06:00,E. Spencer Kyte,spencerkyte
/news/tecia-pennington-crossroad-ufc-fight-night-bonfim-vs-brown,Athletes,5 hours ago,Tecia Pennington | At A Crossroad,Tecia Pennington | At A Crossroad,"Rankings Mainstay Talks Motherhood, Fighting More Often, And Family",2025-11-06 16:50:19-06:00,2025-11-06 17:42:01-06:00,E. Spencer Kyte,spencerkyte
/news/uros-medic-back-track-ufc-fight-night-bonfim-vs-brown,Athletes,5 hours ago,Uroš Medić Is Back On Track,Uroš Medić Is Back On Track,"Serbian Striker Has His Sights Set On The Welterweight Top 15, And Says A Win Over Muslim Salikhov Will Get Him Exactly Where He Wants To Be",2025-11-06 13:11:39-06:00,2025-11-06 16:41:33-06:00,Simon Head,simonheadsport
/news/randy-brown-something-bigger-ufc-fight-night-vegas-111,Athletes,11 hours ago,Randy Brown | Something Bigger,Randy Brown | Something Bigger,"Veteran Talks Main Event Assignment, Providing Aid To Jamaica After Hurricane Melissa",2025-11-06 10:50:18-06:00,2025-11-06 10:34:28-06:00,E. Spencer Kyte,
/news/joseph-morales-all-way-back-ufc-vegas-111-flyweight,Athletes,1 day ago,Joseph Morales | All The Way Back,Joseph Morales | All The Way Back,"Recent TUF Winner Discusses Return To UFC Roster, Approach Going Forward",2025-11-05 17:10:08-06:00,2025-11-05 17:28:29-06:00,E. Spencer Kyte,spencerkyte
/news/malcolm-wellmaker-built-ground-bantamweight-ufc-322,Athletes,1 day ago,Malcolm Wellmaker | Built From The Ground Up,Malcolm Wellmaker | Built From The Ground Up,How a Rising Bantamweight Star Turned a Distant Dream Into Life-Changing Reality,2025-11-05 11:27:38-06:00,2025-11-05 11:36:50-06:00,Kevin Schuster,
/news/christian-leroy-duncan-settled-and-starting-flourish-ufc-vegas-111,Athletes,1 day ago,Christian Leroy Duncan | Settled In And Starting To…,Christian Leroy Duncan | Settled In And Starting To Flourish,British Middleweight Talks Learning On The Job Ahead Of Third Appearance Of 2025,2025-11-05 11:13:53-06:00,2025-11-05 13:14:04-06:00,E. Spencer Kyte,spencerkyte
/news/adrian-yanez-reloaded-ufc-vegas-111,Athletes,3 weeks hence,Adrian Yanez | Reloaded,Adrian Yanez | Reloaded,"After Nearly A Year Away, Bantamweight Standout Excited To Return To Action",2025-11-04 16:36:00-06:00,2025-11-06 10:57:10-06:00,E. Spencer Kyte,spencerkyte
