link,type,time_ago,headline,title,description,published_time,modified_time,author,social_media
/news/10-new-era-begins-style,Fight Preview,3 hours ago,THE 10 | A NEW ERA BEGINS IN STYLE,THE 10 | A NEW ERA BEGINS IN STYLE,"UFC Opens Paramount Partnership, 2026 With Consecutive Numbered Events",2026-01-01 15:23:21-06:00,2026-01-01 15:48:43-06:00,E. Spencer Kyte,
/news/womens-bantamweight-division-2026-preview,Athletes,4 hours ago,The Women’s Bantamweight Division | 2026 Preview,The Women’s Bantamweight Division | 2026 Preview,,2026-01-01 14:30:35-06:00,2026-01-01 14:56:27-06:00,Zac Pacleb,
/news/when-a-game-plan-works-to-perfection-masvidal-mcgregor-poirier-dvalishvili-lewis,Athletes,1 day ago,When A Game Plan Works To Perfection,When A Game Plan Works To Perfection,Looking Back At Some Of The Most Flawlessly Executed Game Plans Inside The Octagon,2025-12-31 09:00:00-06:00,2025-12-31 09:05:49-06:00,,
/news/womens-flyweight-division-2026-preview,Athletes,1 day ago,The Women’s Flyweight Division | 2026 Preview,The Women’s Flyweight Division | 2026 Preview,Valentina Shevchenko Remains The Division’s Benchmark As A New Year Approaches,2025-12-31 09:00:00-06:00,2025-12-31 07:55:00-06:00,Zac Paceb,ZacPacleb
/news/five-fighters-whove-thrived-moving-up-a-weight-division-ufc,Fight Coverage,1 day ago,Five Fighters Who’ve Thrived Moving Up A Weight…,Five Fighters Who’ve Thrived Moving Up A Weight Division,Highlighting Five Fighters Who Achieved Huge Success Moving Up A Weight Division,2025-12-30 19:45:00-06:00,2025-12-30 19:51:24-06:00,Kevin Schuster,
/news/featherweight-division-2026-preview,Athletes,2 days ago,The Featherweight Division | 2026 Preview,The Featherweight Division | 2026 Preview,"Alexander Volkanovski Returned To The Throne In 2025, But A New Crop Of Contenders Is Eager To Unseat The Australian",2025-12-30 13:54:54-06:00,2025-12-30 14:01:01-06:00,Zac Paceb,ZacPacleb
/news/waldo-cortes-acosta-no-slowing-down-ufc-324,Athletes,2 days ago,Waldo Cortes Acosta | No Slowing Down,Waldo Cortes Acosta | No Slowing Down,Breakout Heavyweight Eyes Active 2026 Following UFC 324 Clash With Derrick Lewis,2025-12-30 13:46:41-06:00,2025-12-30 13:54:07-06:00,E. Spencer Kyte,spencerkyte
/news/a-different-derrick-lewis-ufc-324,Athletes,2 days ago,A Different Derrick Lewis,A Different Derrick Lewis,"Tenured Heavyweight Eyes Activity, Winning Streak Heading Into 2026",2025-12-30 13:36:31-06:00,2025-12-30 13:46:34-06:00,E. Spencer Kyte,spencerkyte
/news/bantamweight-division-2026-preview,Athletes,3 days ago,The Bantamweight Division | 2026 Preview,The Bantamweight Division | 2026 Preview,"A Returning Champion Unseated A Dominant Force At The Top, But The Wealth Of Contenders Remains Strong At 135 Pounds",2025-12-29 12:26:49-06:00,2025-12-29 12:33:03-06:00,Zac Paceb,ZacPacleb
/news/song-yadong-peaking-right-time,Athletes,4 days ago,Song Yadong | Peaking At The Right Time,Song Yadong | Peaking At The Right Time,"Young Veteran Talks UFC 324, Showdown With Sean O’Malley",2025-12-28 11:52:53-06:00,2025-12-28 12:12:38-06:00,E. Spencer Kyte,
/news/sean-omalley-re-booting-suga-show-ufc-324-bantamweight,Athletes,5 days ago,SEAN O’MALLEY | RE-BOOTING ‘THE SUGA SHOW’,SEAN O’MALLEY | RE-BOOTING ‘THE SUGA SHOW’,Former Bantamweight Champ Eager To Return To Finishing Ways At UFC 324,2025-12-27 10:00:00-06:00,2025-12-27 10:31:15-06:00,E. Spencer Kyte,spencerkyte
/news/conor-mcgregor-vs-nate-diaz-iconic-ufc-rivalries,Fight Coverage,6 days ago,Conor McGregor vs Nate Diaz | Iconic UFC Rivalries,Conor McGregor vs Nate Diaz | Iconic UFC Rivalries,Looking Back At One Of The Octagon’s Most Unexpected Yet Heated Feuds Between Two Of The UFC’s All-Time Biggest Stars,2025-12-26 16:55:00-06:00,2025-12-26 16:55:22-06:00,Kevin Schuster,
/news/lightweight-division-2026-preview,Athletes,1 week ago,The Lightweight Division | 2026 Preview,The Lightweight Division | 2026 Preview,A Consistently Explosive Division Looks To Bring Even More Intrigue To The New Year,2025-12-25 09:10:12-06:00,2025-12-25 09:27:08-06:00,Zac Pacleb,
/news/welterweight-division-2026-preview,Athletes,1 week ago,The Welterweight Division | 2026 Preview,The Welterweight Division | 2026 Preview,"After A Year Of Title Changes, One Of UFC’s Deepest Division Enters 2026 With No Shortage Of Contenders And Compelling Storylines",2025-12-24 12:33:00-06:00,2025-12-24 12:41:31-06:00,Zac Paceb,ZacPacleb
/news/fighters-2025-ufccom-awards,Athletes,1 week ago,The Fighters | 2025 UFC.com Awards,The Fighters | 2025 UFC.com Awards,Saluting The Athletes That Stood Out Most Over The Last 12 Months Inside The Octagon,2025-12-23 10:00:00-06:00,2025-12-23 10:47:05-06:00,E. Spencer Kyte,spencerkyte
/news/most-shocking-knockouts-in-ufc-history-conor-mcgregor-jorge-masvidal-rose-namajunas-leon-edwards-israel-adesanya,Fight Coverage,1 week ago,Most Shocking Knockouts In UFC History,Most Shocking Knockouts In UFC History,Looking Back At Some Of The Most Unexpected Finishes Inside The Octagon,2025-12-22 09:45:00-06:00,2025-12-22 09:50:59-06:00,Kevin Schuster,
/news/the-fights-2025-ufccom-awards,Fight Coverage,1 week ago,The Fights | 2025 UFC.com Awards,The Fights | 2025 UFC.com Awards,Handing Out Hardware For The Contests That Captivated Us This Past Year,2025-12-22 08:20:00-06:00,2025-12-22 10:15:05-06:00,E. Spencer Kyte,SpencerKyte
/news/knockouts-2025-ufccom-awards,Athletes,1 week ago,The Knockouts | 2025 UFC.com Awards,The Knockouts | 2025 UFC.com Awards,What Direct Tickets To The Shadow Realm Stood Out Most In 2025?,2025-12-21 12:20:41-06:00,2025-12-21 12:46:41-06:00,E. Spencer Kyte,
/news/submissions-2025-ufccom-awards,Athletes,1 week ago,The Submissions | 2025 UFC.com Awards,The Submissions | 2025 UFC.com Awards,The Closest Race Of The Year Comes Down To Two Spring Finishes,2025-12-20 10:00:24-06:00,2025-12-22 09:54:29-06:00,E. Spencer Kyte,spencerkyte
/news/newcomers-2025-ufccom-awards,Athletes,2 weeks ago,The Newcomers | 2025 UFC.com Awards,The Newcomers | 2025 UFC.com Awards,A Banner Crop Of First-Year Talents Resulted In A Close Race For Top Rookie,2025-12-18 16:40:09-06:00,2025-12-18 16:56:36-06:00,E. Spencer Kyte,
/news/scorecard-ufc-fight-night-vegas-112,Fight Coverage,2 weeks ago,The Scorecard | UFC Fight Night: Royval vs Kape,The Scorecard | UFC Fight Night: Royval vs Kape,"Take A Look At The Biggest Winners From UFC Fight Night: Royval vs Kape, From the UFC APEX in Las Vegas, On December 13, 2025",2025-12-14 14:38:51-06:00,2025-12-14 15:05:52-06:00,Simon Head,simonheadsport
/news/bonus-coverage-2025-performance-fight-of-the-night,Results,2 weeks ago,Bonus Coverage | UFC Fight Night: Royval vs Kape,Bonus Coverage | UFC Fight Night: Royval vs Kape,"The Fights & Performances That Warranted An Extra $50,000 In 2025",2025-12-14 01:00:00-06:00,2025-12-14 01:19:53-06:00,UFC Staff Report,
