file,num_man_paragraphs,num_woman_paragraphs,num_equal_paragraphs,num_genderless_paragraphs,num_tokens,num_paragraphs
news_bigger-picture-ufc-315-muhammad-vs-della-maddalena.txt,12,6,0,17,2036,35
news_bigger-picture-ufc-316.txt,23,5,0,6,2176,34
news_bigger-picture-ufc-317-topuria-vs-oliveira.txt,32,1,0,12,2454,45
news_bigger-picture-ufc-318-holloway-vs-poirier-3.txt,30,1,0,8,2072,39
news_bigger-picture-ufc-319-du-plessis-vs-chimaev.txt,23,1,0,7,2193,31
news_bigger-picture-ufc-321-aspinall-vs-gane.txt,15,6,0,13,2321,34
news_bigger-picture-ufc-323-dvalishvili-vs-yan-2.txt,17,6,0,10,1960,33
news_bigger-picture-vechain-ufc-322.txt,18,9,0,5,2096,32
news_billy-elekana-opportunity-knocked-ufc-311.txt,17,0,0,8,1192,25
news_billy-ray-goff-it-is-about-focus-ufc-vegas-107.txt,14,0,0,2,1045,16
news_bmf-title-lineage.txt,10,0,0,3,820,13
news_bo-nickal-continuously-improving-ufc-des-moines.txt,15,0,0,2,881,17
news_bo-nickal-dana-whites-contender-series-grad-showcase.txt,10,0,0,2,811,12
news_bogdan-grad-better-than-ever-ufc-qatar.txt,18,0,0,4,814,22
news_bogdan-grad-eager-to-impress-ufc-baku.txt,25,0,0,2,1601,27
news_bogdan-guskov-has-only-one-goal-mind-ufc-abu-dhabi.txt,12,0,0,3,704,15
news_bolaji-oki-comfortable-and-ready-to-climb-ufc-paris.txt,14,0,0,9,1725,23
news_bonfim-brothers-spotlight-fight-night-cannonier-vs-rodrigues.txt,13,0,0,0,689,13
news_bonus-coverage-2025-performance-fight-of-the-night.txt,86,8,0,58,8180,152
news_brandon-moreno-has-found-the-perfect-balance-ufc-mexico.txt,29,0,0,12,1633,41
news_brandon-moreno-still-prime-ufc-323.txt,20,0,0,3,1204,23
news_brandon-royval-i-want-it-all-ufc-317.txt,11,0,0,1,846,12
news_brandon-royval-knows-how-good-he-is-now-ufc-fight-night-royval-vs-kape-vegas-112.txt,19,0,0,0,1436,19
news_brendan-allen-redemption-tour-ufc-seattle-cejudo-vs-song.txt,14,0,0,1,1049,15
news_brian-ortega-always-within-striking-distance-ufc-shanghai.txt,14,0,0,0,976,14
news_bruna-brasil-bring-house-down-ufc-312.txt,0,13,0,1,725,14
news_caio-borralho-all-eyes-title-shot-ufc-paris.txt,13,0,0,2,1085,15
news_caio-borralho-five-fights-watch.txt,19,0,0,0,777,19
news_calvin-kattar-focused-on-the-task-at-hand-ufc-fight-night-cannonier-vs-rodrigues.txt,12,0,0,1,829,13
news_calvin-kattar-we-are-on-to-ufc-nashville.txt,11,0,0,2,828,13
news_cameron-saaiman-a-long-hard-year-ufc-kansas-city.txt,27,0,0,5,2088,32
news_cameron-smotherman-driven-with-fresh-perspective-ufc-des-moines.txt,9,0,0,2,740,11
news_canadian-breakdown-ufc-315-muhammad-vs-della-maddalena.txt,5,1,0,24,738,30
news_carli-judice-louisiana-for-life-ufc-318.txt,0,10,0,2,1069,12
news_carlos-prates-is-just-getting-started-ufc-kansas-city.txt,12,0,0,3,1018,15
news_carlos-prates-plans-to-gatecrash-the-welterweight-title-party-vechain-ufc-322.txt,23,0,0,2,1235,25
news_carlos-ulberg-whatever-takes-ufc-london.txt,12,0,0,1,842,13
news_carlos-ulbergs-winning-streak-light-heavyweight.txt,21,0,0,0,951,21
news_charles-johnson-chasing-something-bigger-ufc-shanghai.txt,21,0,0,1,1345,22
news_charles-johnson-still-has-a-chip-on-his-shoulder-ufc-vegas-103.txt,20,0,0,6,1371,26
